Return_ID,Return_Date,Return_Reason,Return_Status,Approval_Date,Return_Notes,Customer_account_ID
RET000536,2024-09-01,Defective product,Processing,,Customer requested return. Condition noted.,CST001370
RET000537,2023-09-03,Changed mind,Approved,2023-09-08,Customer requested return. Condition noted.,CST000322
RET000538,2023-11-04,Defective product,Rejected,2023-11-06,Customer requested return. Condition noted.,CST000929
RET000539,2025-12-24,Defective product,Approved,2025-12-25,Customer requested return. Condition noted.,CST001668
RET000540,2024-12-23,Wrong item delivered,Rejected,2024-12-29,Customer requested return. Condition noted.,CST000529
RET000541,2022-11-20,Damaged during shipping,Approved,2022-11-22,Customer requested return. Condition noted.,CST001906
RET000542,2024-10-16,Damaged during shipping,Approved,2024-10-19,Customer requested return. Condition noted.,CST002847
RET000543,2022-10-08,Better price found elsewhere,Rejected,2022-10-13,Customer requested return. Condition noted.,CST002237
RET000544,2024-03-24,Changed mind,Rejected,2024-03-27,Customer requested return. Condition noted.,CST002773
RET000545,2022-10-21,Changed mind,Approved,2022-10-23,Customer requested return. Condition noted.,CST002842
RET000546,2022-05-09,Wrong item delivered,Approved,2022-05-13,Customer requested return. Condition noted.,CST000376
RET000547,2023-07-27,Damaged during shipping,Rejected,2023-08-03,Customer requested return. Condition noted.,CST000454
RET000548,2025-02-01,Defective product,Approved,2025-02-06,Customer requested return. Condition noted.,CST001627
RET000549,2025-02-14,Changed mind,Approved,2025-02-21,Customer requested return. Condition noted.,CST001191
RET000550,2022-08-15,Better price found elsewhere,Processing,,Customer requested return. Condition noted.,CST001933
RET000551,2025-06-30,Incompatible with device,Approved,2025-07-01,Customer requested return. Condition noted.,CST000799
RET000552,2024-12-24,Incompatible with device,Rejected,2024-12-26,Customer requested return. Condition noted.,CST001998
RET000553,2025-01-27,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST000695
RET000554,2022-01-09,Product not as described,Approved,2022-01-12,Customer requested return. Condition noted.,CST001614
RET000555,2023-02-28,Incompatible with device,Approved,2023-03-05,Customer requested return. Condition noted.,CST002240
RET000556,2025-06-07,Better price found elsewhere,Approved,2025-06-12,Customer requested return. Condition noted.,CST000977
RET000557,2024-04-15,Wrong item delivered,Approved,2024-04-21,Customer requested return. Condition noted.,CST000617
RET000558,2024-09-16,Incompatible with device,Approved,2024-09-18,Customer requested return. Condition noted.,CST000417
RET000559,2023-01-21,Damaged during shipping,Approved,2023-01-26,Customer requested return. Condition noted.,CST000882
RET000560,2022-11-23,Wrong item delivered,Approved,2022-11-24,Customer requested return. Condition noted.,CST001873
RET000561,2022-09-13,Damaged during shipping,Rejected,2022-09-19,Customer requested return. Condition noted.,CST002168
RET000562,2025-09-19,Better price found elsewhere,Approved,2025-09-26,Customer requested return. Condition noted.,CST000390
RET000563,2025-08-08,Wrong item delivered,Rejected,2025-08-14,Customer requested return. Condition noted.,CST000366
RET000564,2024-05-24,Damaged during shipping,Approved,2024-05-29,Customer requested return. Condition noted.,CST001562
RET000565,2025-10-26,Better price found elsewhere,Approved,2025-11-01,Customer requested return. Condition noted.,CST002735
RET000566,2022-11-20,Product not as described,Rejected,2022-11-27,Customer requested return. Condition noted.,CST000522
RET000567,2024-12-19,Incompatible with device,Processing,,Customer requested return. Condition noted.,CST002159
RET000568,2024-06-14,Duplicate purchase,Approved,2024-06-15,Customer requested return. Condition noted.,CST000142
RET000569,2025-09-15,Changed mind,Approved,2025-09-22,Customer requested return. Condition noted.,CST002991
RET000570,2022-04-03,Product not as described,Approved,2022-04-05,Customer requested return. Condition noted.,CST000241
RET000571,2022-10-31,Duplicate purchase,Approved,2022-11-03,Customer requested return. Condition noted.,CST001978
RET000572,2023-03-19,Defective product,Approved,2023-03-22,Customer requested return. Condition noted.,CST000019
RET000573,2023-09-16,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST002871
RET000574,2022-02-07,Duplicate purchase,Approved,2022-02-09,Customer requested return. Condition noted.,CST001179
RET000575,2025-12-20,Wrong item delivered,Approved,2025-12-24,Customer requested return. Condition noted.,CST002992
RET000576,2024-10-05,Defective product,Approved,2024-10-12,Customer requested return. Condition noted.,CST002859
RET000577,2023-09-27,Changed mind,Rejected,2023-10-02,Customer requested return. Condition noted.,CST001767
RET000578,2022-04-09,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST001156
RET000579,2023-01-02,Product not as described,Pending,,Customer requested return. Condition noted.,CST001989
RET000580,2025-04-05,Defective product,Approved,2025-04-08,Customer requested return. Condition noted.,CST000805
RET000581,2024-06-03,Duplicate purchase,Approved,2024-06-10,Customer requested return. Condition noted.,CST001366
RET000582,2023-12-04,Defective product,Pending,,Customer requested return. Condition noted.,CST000388
RET000583,2022-02-13,Product not as described,Approved,2022-02-19,Customer requested return. Condition noted.,CST002414
RET000584,2024-06-28,Wrong item delivered,Approved,2024-07-05,Customer requested return. Condition noted.,CST002527
RET000585,2024-07-31,Defective product,Rejected,2024-08-05,Customer requested return. Condition noted.,CST002318
RET000586,2022-08-16,Duplicate purchase,Approved,2022-08-22,Customer requested return. Condition noted.,CST001110
RET000587,2022-08-13,Defective product,Pending,,Customer requested return. Condition noted.,CST002552
RET000588,2023-10-17,Defective product,Approved,2023-10-24,Customer requested return. Condition noted.,CST000019
RET000589,2023-12-13,Incompatible with device,Approved,2023-12-18,Customer requested return. Condition noted.,CST002128
RET000590,2022-01-23,Wrong item delivered,Approved,2022-01-24,Customer requested return. Condition noted.,CST000327
RET000591,2022-04-10,Better price found elsewhere,Approved,2022-04-15,Customer requested return. Condition noted.,CST002303
RET000592,2022-10-31,Wrong item delivered,Approved,2022-11-04,Customer requested return. Condition noted.,CST000041
RET000593,2024-07-07,Incompatible with device,Approved,2024-07-09,Customer requested return. Condition noted.,CST001713
RET000594,2024-07-19,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST001557
RET000595,2025-04-22,Duplicate purchase,Rejected,2025-04-26,Customer requested return. Condition noted.,CST002379
RET000596,2025-08-25,Incompatible with device,Approved,2025-08-30,Customer requested return. Condition noted.,CST000568
RET000597,2022-03-20,Wrong item delivered,Approved,2022-03-23,Customer requested return. Condition noted.,CST001732
RET000598,2025-09-25,Changed mind,Approved,2025-09-27,Customer requested return. Condition noted.,CST001656
RET000599,2024-03-16,Changed mind,Approved,2024-03-20,Customer requested return. Condition noted.,CST000336
RET000600,2025-06-10,Better price found elsewhere,Approved,2025-06-11,Customer requested return. Condition noted.,CST000092
RET000601,2022-08-18,Better price found elsewhere,Approved,2022-08-21,Customer requested return. Condition noted.,CST002079
RET000602,2025-04-21,Damaged during shipping,Approved,2025-04-28,Customer requested return. Condition noted.,CST001588
RET000603,2024-07-25,Incompatible with device,Processing,,Customer requested return. Condition noted.,CST001172
RET000604,2024-08-22,Defective product,Rejected,2024-08-24,Customer requested return. Condition noted.,CST002612
RET000605,2025-03-31,Changed mind,Pending,,Customer requested return. Condition noted.,CST002952
RET000606,2022-11-29,Wrong item delivered,Processing,,Customer requested return. Condition noted.,CST001910
RET000607,2023-09-29,Incompatible with device,Approved,2023-10-06,Customer requested return. Condition noted.,CST000669
RET000608,2022-03-31,Damaged during shipping,Rejected,2022-04-04,Customer requested return. Condition noted.,CST000160
RET000609,2022-08-28,Wrong item delivered,Rejected,2022-08-31,Customer requested return. Condition noted.,CST002354
RET000610,2025-08-30,Changed mind,Rejected,2025-09-02,Customer requested return. Condition noted.,CST001529
RET000611,2025-04-18,Changed mind,Approved,2025-04-23,Customer requested return. Condition noted.,CST002256
RET000612,2022-11-17,Wrong item delivered,Pending,,Customer requested return. Condition noted.,CST002380
RET000613,2023-03-21,Changed mind,Processing,,Customer requested return. Condition noted.,CST002598
RET000614,2024-09-28,Defective product,Approved,2024-10-01,Customer requested return. Condition noted.,CST001190
RET000615,2023-07-08,Product not as described,Approved,2023-07-09,Customer requested return. Condition noted.,CST000610
RET000616,2024-10-31,Changed mind,Approved,2024-11-05,Customer requested return. Condition noted.,CST000715
RET000617,2023-04-03,Incompatible with device,Pending,,Customer requested return. Condition noted.,CST000818
RET000618,2022-08-30,Changed mind,Pending,,Customer requested return. Condition noted.,CST001490
RET000619,2023-03-23,Incompatible with device,Approved,2023-03-25,Customer requested return. Condition noted.,CST001129
RET000620,2024-09-26,Damaged during shipping,Approved,2024-09-28,Customer requested return. Condition noted.,CST000465
RET000621,2023-11-11,Incompatible with device,Approved,2023-11-12,Customer requested return. Condition noted.,CST000804
RET000622,2025-12-29,Better price found elsewhere,Processing,,Customer requested return. Condition noted.,CST000234
RET000623,2022-08-14,Duplicate purchase,Approved,2022-08-17,Customer requested return. Condition noted.,CST002930
RET000624,2022-11-02,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST001847
RET000625,2025-06-29,Defective product,Rejected,2025-07-06,Customer requested return. Condition noted.,CST002290
RET000626,2023-08-29,Product not as described,Approved,2023-09-01,Customer requested return. Condition noted.,CST000954
RET000627,2025-06-15,Product not as described,Pending,,Customer requested return. Condition noted.,CST002464
RET000628,2023-07-19,Changed mind,Approved,2023-07-20,Customer requested return. Condition noted.,CST002404
RET000629,2022-02-18,Duplicate purchase,Rejected,2022-02-22,Customer requested return. Condition noted.,CST000082
RET000630,2023-05-22,Product not as described,Approved,2023-05-24,Customer requested return. Condition noted.,CST000916
RET000631,2023-12-19,Wrong item delivered,Approved,2023-12-22,Customer requested return. Condition noted.,CST001562
RET000632,2024-11-22,Defective product,Pending,,Customer requested return. Condition noted.,CST001743
RET000633,2024-09-10,Incompatible with device,Approved,2024-09-13,Customer requested return. Condition noted.,CST000420
RET000634,2023-06-24,Better price found elsewhere,Approved,2023-06-29,Customer requested return. Condition noted.,CST002899
RET000635,2024-10-03,Damaged during shipping,Approved,2024-10-09,Customer requested return. Condition noted.,CST002421
RET000636,2025-08-12,Incompatible with device,Rejected,2025-08-19,Customer requested return. Condition noted.,CST000146
RET000637,2022-03-28,Product not as described,Processing,,Customer requested return. Condition noted.,CST000142
RET000638,2022-05-08,Product not as described,Approved,2022-05-15,Customer requested return. Condition noted.,CST002416
RET000639,2024-08-15,Better price found elsewhere,Approved,2024-08-21,Customer requested return. Condition noted.,CST000359
RET000640,2025-06-02,Changed mind,Pending,,Customer requested return. Condition noted.,CST001304
RET000641,2024-02-22,Changed mind,Approved,2024-02-24,Customer requested return. Condition noted.,CST002273
RET000642,2025-05-15,Damaged during shipping,Approved,2025-05-20,Customer requested return. Condition noted.,CST001515
RET000643,2025-12-10,Wrong item delivered,Approved,2025-12-12,Customer requested return. Condition noted.,CST002332
RET000644,2024-06-07,Wrong item delivered,Approved,2024-06-08,Customer requested return. Condition noted.,CST001740
RET000645,2024-07-23,Changed mind,Pending,,Customer requested return. Condition noted.,CST001541
RET000646,2022-10-12,Defective product,Pending,,Customer requested return. Condition noted.,CST002172
RET000647,2025-05-08,Defective product,Approved,2025-05-12,Customer requested return. Condition noted.,CST002089
RET000648,2023-04-13,Product not as described,Pending,,Customer requested return. Condition noted.,CST001971
RET000649,2023-09-29,Product not as described,Processing,,Customer requested return. Condition noted.,CST001054
RET000650,2024-10-12,Duplicate purchase,Approved,2024-10-16,Customer requested return. Condition noted.,CST001520
RET000651,2022-09-06,Duplicate purchase,Approved,2022-09-09,Customer requested return. Condition noted.,CST000449
RET000652,2022-04-21,Wrong item delivered,Approved,2022-04-22,Customer requested return. Condition noted.,CST002482
RET000653,2025-08-12,Changed mind,Processing,,Customer requested return. Condition noted.,CST000208
RET000654,2024-10-14,Incompatible with device,Approved,2024-10-19,Customer requested return. Condition noted.,CST001725
RET000655,2023-08-30,Changed mind,Approved,2023-09-03,Customer requested return. Condition noted.,CST001123
RET000656,2025-01-04,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST002284
RET000657,2025-09-25,Defective product,Approved,2025-09-29,Customer requested return. Condition noted.,CST001454
RET000658,2023-01-13,Duplicate purchase,Approved,2023-01-15,Customer requested return. Condition noted.,CST000713
RET000659,2025-11-06,Changed mind,Pending,,Customer requested return. Condition noted.,CST000455
RET000660,2024-06-01,Incompatible with device,Approved,2024-06-04,Customer requested return. Condition noted.,CST002740
RET000661,2023-09-07,Changed mind,Approved,2023-09-12,Customer requested return. Condition noted.,CST000762
RET000662,2023-06-26,Defective product,Approved,2023-07-02,Customer requested return. Condition noted.,CST001849
RET000663,2022-05-30,Better price found elsewhere,Rejected,2022-06-01,Customer requested return. Condition noted.,CST002835
RET000664,2024-06-14,Changed mind,Approved,2024-06-19,Customer requested return. Condition noted.,CST000610
RET000665,2023-01-06,Changed mind,Approved,2023-01-12,Customer requested return. Condition noted.,CST000652
RET000666,2025-10-21,Wrong item delivered,Approved,2025-10-25,Customer requested return. Condition noted.,CST001362
RET000667,2022-02-25,Damaged during shipping,Approved,2022-02-28,Customer requested return. Condition noted.,CST001434
RET000668,2024-09-01,Damaged during shipping,Approved,2024-09-04,Customer requested return. Condition noted.,CST001178
RET000669,2022-02-27,Damaged during shipping,Approved,2022-03-06,Customer requested return. Condition noted.,CST002042
RET000670,2023-07-30,Changed mind,Approved,2023-08-01,Customer requested return. Condition noted.,CST002377
RET000671,2023-10-26,Duplicate purchase,Approved,2023-10-29,Customer requested return. Condition noted.,CST002971
RET000672,2025-08-20,Better price found elsewhere,Approved,2025-08-23,Customer requested return. Condition noted.,CST001065
RET000673,2022-04-12,Product not as described,Processing,,Customer requested return. Condition noted.,CST000338
RET000674,2024-05-25,Defective product,Approved,2024-05-27,Customer requested return. Condition noted.,CST000556
RET000675,2022-09-26,Wrong item delivered,Rejected,2022-10-02,Customer requested return. Condition noted.,CST002002
RET000676,2022-11-11,Damaged during shipping,Rejected,2022-11-12,Customer requested return. Condition noted.,CST002188
RET000677,2025-02-04,Defective product,Approved,2025-02-11,Customer requested return. Condition noted.,CST000109
RET000678,2023-06-14,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST002859
RET000679,2022-06-26,Product not as described,Approved,2022-07-01,Customer requested return. Condition noted.,CST001096
RET000680,2024-05-13,Wrong item delivered,Approved,2024-05-14,Customer requested return. Condition noted.,CST000246
RET000681,2024-09-15,Wrong item delivered,Approved,2024-09-19,Customer requested return. Condition noted.,CST000560
RET000682,2025-12-08,Damaged during shipping,Rejected,2025-12-11,Customer requested return. Condition noted.,CST000423
RET000683,2022-11-04,Better price found elsewhere,Approved,2022-11-11,Customer requested return. Condition noted.,CST002560
RET000684,2024-12-19,Duplicate purchase,Rejected,2024-12-20,Customer requested return. Condition noted.,CST000878
RET000685,2022-07-08,Duplicate purchase,Approved,2022-07-10,Customer requested return. Condition noted.,CST000168
RET000686,2025-06-25,Defective product,Approved,2025-06-26,Customer requested return. Condition noted.,CST000895
RET000687,2023-11-17,Better price found elsewhere,Approved,2023-11-23,Customer requested return. Condition noted.,CST002112
RET000688,2024-04-30,Wrong item delivered,Approved,2024-05-05,Customer requested return. Condition noted.,CST002134
RET000689,2025-12-12,Defective product,Rejected,2025-12-15,Customer requested return. Condition noted.,CST000219
RET000690,2023-11-04,Wrong item delivered,Approved,2023-11-07,Customer requested return. Condition noted.,CST002063
RET000691,2023-05-03,Product not as described,Approved,2023-05-09,Customer requested return. Condition noted.,CST002215
RET000692,2025-01-16,Incompatible with device,Approved,2025-01-22,Customer requested return. Condition noted.,CST001634
RET000693,2024-05-16,Defective product,Approved,2024-05-20,Customer requested return. Condition noted.,CST001105
RET000694,2025-05-08,Duplicate purchase,Approved,2025-05-11,Customer requested return. Condition noted.,CST001728
RET000695,2024-04-22,Product not as described,Approved,2024-04-24,Customer requested return. Condition noted.,CST002773
RET000696,2023-04-08,Wrong item delivered,Approved,2023-04-12,Customer requested return. Condition noted.,CST000492
RET000697,2025-11-30,Product not as described,Approved,2025-12-05,Customer requested return. Condition noted.,CST001627
RET000698,2025-10-06,Product not as described,Approved,2025-10-10,Customer requested return. Condition noted.,CST002746
RET000699,2022-09-04,Wrong item delivered,Approved,2022-09-08,Customer requested return. Condition noted.,CST002614
RET000700,2022-10-15,Wrong item delivered,Pending,,Customer requested return. Condition noted.,CST001444
RET000701,2023-12-15,Product not as described,Rejected,2023-12-16,Customer requested return. Condition noted.,CST001036
RET000702,2024-10-15,Duplicate purchase,Approved,2024-10-22,Customer requested return. Condition noted.,CST001372
RET000703,2022-05-06,Wrong item delivered,Rejected,2022-05-13,Customer requested return. Condition noted.,CST001947
RET000704,2024-08-17,Changed mind,Approved,2024-08-22,Customer requested return. Condition noted.,CST002779
RET000705,2025-07-29,Duplicate purchase,Approved,2025-08-03,Customer requested return. Condition noted.,CST002263
RET000706,2023-02-09,Damaged during shipping,Approved,2023-02-16,Customer requested return. Condition noted.,CST001675
RET000707,2024-10-02,Changed mind,Approved,2024-10-07,Customer requested return. Condition noted.,CST000250
RET000708,2023-07-12,Defective product,Approved,2023-07-19,Customer requested return. Condition noted.,CST000490
RET000709,2024-10-25,Product not as described,Approved,2024-10-29,Customer requested return. Condition noted.,CST001688
RET000710,2022-10-01,Product not as described,Approved,2022-10-04,Customer requested return. Condition noted.,CST001174
RET000711,2025-03-09,Defective product,Rejected,2025-03-11,Customer requested return. Condition noted.,CST002117
RET000712,2024-11-18,Incompatible with device,Pending,,Customer requested return. Condition noted.,CST000006
RET000713,2025-01-14,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST002562
RET000714,2024-08-10,Changed mind,Rejected,2024-08-13,Customer requested return. Condition noted.,CST001969
RET000715,2023-09-08,Changed mind,Processing,,Customer requested return. Condition noted.,CST000208
RET000716,2025-07-31,Damaged during shipping,Approved,2025-08-01,Customer requested return. Condition noted.,CST002298
RET000717,2025-02-06,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST001366
RET000718,2022-04-23,Changed mind,Pending,,Customer requested return. Condition noted.,CST002032
RET000719,2025-02-11,Incompatible with device,Approved,2025-02-15,Customer requested return. Condition noted.,CST001974
RET000720,2022-01-03,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST001022
RET000721,2023-10-19,Wrong item delivered,Rejected,2023-10-22,Customer requested return. Condition noted.,CST000632
RET000722,2024-11-16,Duplicate purchase,Approved,2024-11-18,Customer requested return. Condition noted.,CST002925
RET000723,2024-10-15,Better price found elsewhere,Processing,,Customer requested return. Condition noted.,CST000039
RET000724,2022-09-04,Product not as described,Approved,2022-09-05,Customer requested return. Condition noted.,CST000530
RET000725,2023-06-07,Wrong item delivered,Pending,,Customer requested return. Condition noted.,CST001234
RET000726,2024-07-06,Wrong item delivered,Pending,,Customer requested return. Condition noted.,CST002595
RET000727,2025-10-14,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST002133
RET000728,2025-03-27,Damaged during shipping,Approved,2025-04-03,Customer requested return. Condition noted.,CST000819
RET000729,2025-07-20,Duplicate purchase,Rejected,2025-07-26,Customer requested return. Condition noted.,CST002360
RET000730,2025-01-30,Product not as described,Approved,2025-02-02,Customer requested return. Condition noted.,CST000486
RET000731,2023-09-08,Defective product,Approved,2023-09-15,Customer requested return. Condition noted.,CST001945
RET000732,2023-07-14,Damaged during shipping,Processing,,Customer requested return. Condition noted.,CST001722
RET000733,2022-01-15,Damaged during shipping,Rejected,2022-01-19,Customer requested return. Condition noted.,CST000954
RET000734,2024-10-30,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST000741
RET000735,2025-12-24,Damaged during shipping,Approved,2025-12-31,Customer requested return. Condition noted.,CST002411
RET000736,2025-04-26,Better price found elsewhere,Approved,2025-05-02,Customer requested return. Condition noted.,CST002763
RET000737,2023-08-20,Duplicate purchase,Approved,2023-08-26,Customer requested return. Condition noted.,CST001378
RET000738,2022-01-11,Duplicate purchase,Approved,2022-01-12,Customer requested return. Condition noted.,CST000400
RET000739,2022-07-23,Duplicate purchase,Approved,2022-07-24,Customer requested return. Condition noted.,CST001341
RET000740,2022-02-08,Damaged during shipping,Approved,2022-02-12,Customer requested return. Condition noted.,CST001187
RET000741,2024-08-25,Damaged during shipping,Approved,2024-08-30,Customer requested return. Condition noted.,CST000831
RET000742,2022-09-11,Duplicate purchase,Approved,2022-09-15,Customer requested return. Condition noted.,CST000866
RET000743,2025-08-09,Duplicate purchase,Approved,2025-08-14,Customer requested return. Condition noted.,CST002520
RET000744,2022-07-29,Incompatible with device,Approved,2022-08-04,Customer requested return. Condition noted.,CST001643
RET000745,2023-09-03,Defective product,Rejected,2023-09-09,Customer requested return. Condition noted.,CST000430
RET000746,2025-05-13,Better price found elsewhere,Approved,2025-05-20,Customer requested return. Condition noted.,CST001899
RET000747,2022-04-11,Product not as described,Rejected,2022-04-15,Customer requested return. Condition noted.,CST000723
RET000748,2023-10-14,Defective product,Approved,2023-10-15,Customer requested return. Condition noted.,CST001023
RET000749,2023-04-23,Better price found elsewhere,Rejected,2023-04-29,Customer requested return. Condition noted.,CST001228
RET000750,2024-12-08,Duplicate purchase,Approved,2024-12-11,Customer requested return. Condition noted.,CST002824
RET000751,2024-09-16,Damaged during shipping,Approved,2024-09-17,Customer requested return. Condition noted.,CST000566
RET000752,2023-06-07,Incompatible with device,Approved,2023-06-13,Customer requested return. Condition noted.,CST000401
RET000753,2025-09-04,Changed mind,Rejected,2025-09-05,Customer requested return. Condition noted.,CST001034
RET000754,2024-06-04,Product not as described,Approved,2024-06-09,Customer requested return. Condition noted.,CST001442
RET000755,2025-05-15,Changed mind,Approved,2025-05-22,Customer requested return. Condition noted.,CST000463
RET000756,2024-11-07,Product not as described,Pending,,Customer requested return. Condition noted.,CST002724
RET000757,2025-05-31,Defective product,Approved,2025-06-06,Customer requested return. Condition noted.,CST001127
RET000758,2022-04-10,Product not as described,Processing,,Customer requested return. Condition noted.,CST001696
RET000759,2023-08-08,Defective product,Processing,,Customer requested return. Condition noted.,CST000026
RET000760,2023-09-23,Changed mind,Approved,2023-09-27,Customer requested return. Condition noted.,CST001584
RET000761,2025-11-11,Changed mind,Approved,2025-11-13,Customer requested return. Condition noted.,CST000212
RET000762,2022-08-12,Better price found elsewhere,Rejected,2022-08-15,Customer requested return. Condition noted.,CST002149
RET000763,2022-09-03,Changed mind,Approved,2022-09-07,Customer requested return. Condition noted.,CST000804
RET000764,2024-05-04,Defective product,Approved,2024-05-08,Customer requested return. Condition noted.,CST000963
RET000765,2022-09-15,Duplicate purchase,Rejected,2022-09-19,Customer requested return. Condition noted.,CST002603
RET000766,2023-09-09,Damaged during shipping,Approved,2023-09-14,Customer requested return. Condition noted.,CST002693
RET000767,2025-09-08,Damaged during shipping,Rejected,2025-09-14,Customer requested return. Condition noted.,CST001563
RET000768,2025-04-25,Changed mind,Approved,2025-04-26,Customer requested return. Condition noted.,CST002979
RET000769,2024-01-21,Damaged during shipping,Rejected,2024-01-25,Customer requested return. Condition noted.,CST001544
RET000770,2024-04-07,Changed mind,Rejected,2024-04-11,Customer requested return. Condition noted.,CST002281
RET000771,2023-10-27,Incompatible with device,Pending,,Customer requested return. Condition noted.,CST000535
RET000772,2024-05-17,Damaged during shipping,Rejected,2024-05-20,Customer requested return. Condition noted.,CST002853
RET000773,2023-04-06,Incompatible with device,Approved,2023-04-10,Customer requested return. Condition noted.,CST001007
RET000774,2024-04-11,Duplicate purchase,Rejected,2024-04-18,Customer requested return. Condition noted.,CST000207
RET000775,2023-03-24,Changed mind,Approved,2023-03-29,Customer requested return. Condition noted.,CST002418
RET000776,2023-08-17,Wrong item delivered,Approved,2023-08-18,Customer requested return. Condition noted.,CST001414
RET000777,2025-08-10,Wrong item delivered,Approved,2025-08-16,Customer requested return. Condition noted.,CST000798
RET000778,2024-02-07,Defective product,Approved,2024-02-13,Customer requested return. Condition noted.,CST000256
RET000779,2022-02-18,Better price found elsewhere,Approved,2022-02-19,Customer requested return. Condition noted.,CST000383
RET000780,2022-12-06,Damaged during shipping,Approved,2022-12-10,Customer requested return. Condition noted.,CST002135
RET000781,2024-04-13,Changed mind,Approved,2024-04-14,Customer requested return. Condition noted.,CST000637
RET000782,2023-05-16,Changed mind,Approved,2023-05-18,Customer requested return. Condition noted.,CST002333
RET000783,2025-11-29,Defective product,Approved,2025-12-02,Customer requested return. Condition noted.,CST000504
RET000784,2025-05-15,Duplicate purchase,Rejected,2025-05-22,Customer requested return. Condition noted.,CST000168
RET000785,2025-01-04,Duplicate purchase,Pending,,Customer requested return. Condition noted.,CST000854
RET000786,2022-02-03,Wrong item delivered,Approved,2022-02-10,Customer requested return. Condition noted.,CST000265
RET000787,2025-05-17,Changed mind,Pending,,Customer requested return. Condition noted.,CST001238
RET000788,2023-12-16,Changed mind,Processing,,Customer requested return. Condition noted.,CST001057
RET000789,2023-07-11,Damaged during shipping,Rejected,2023-07-12,Customer requested return. Condition noted.,CST002302
RET000790,2025-12-06,Defective product,Processing,,Customer requested return. Condition noted.,CST000156
RET000791,2024-07-14,Better price found elsewhere,Approved,2024-07-17,Customer requested return. Condition noted.,CST001440
RET000792,2024-10-04,Incompatible with device,Approved,2024-10-11,Customer requested return. Condition noted.,CST000954
RET000793,2025-11-03,Defective product,Processing,,Customer requested return. Condition noted.,CST001112
RET000794,2024-04-28,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST002375
RET000795,2025-01-28,Changed mind,Approved,2025-01-31,Customer requested return. Condition noted.,CST000502
RET000796,2023-09-28,Wrong item delivered,Approved,2023-10-05,Customer requested return. Condition noted.,CST001962
RET000797,2025-06-04,Damaged during shipping,Processing,,Customer requested return. Condition noted.,CST000600
RET000798,2024-03-25,Defective product,Pending,,Customer requested return. Condition noted.,CST000950
RET000799,2023-12-24,Duplicate purchase,Pending,,Customer requested return. Condition noted.,CST000417
RET000800,2025-01-12,Better price found elsewhere,Processing,,Customer requested return. Condition noted.,CST000873
RET000801,2023-12-15,Incompatible with device,Processing,,Customer requested return. Condition noted.,CST002266
RET000802,2022-03-31,Incompatible with device,Approved,2022-04-04,Customer requested return. Condition noted.,CST002605
RET000803,2022-03-26,Defective product,Processing,,Customer requested return. Condition noted.,CST001165
RET000804,2024-10-12,Damaged during shipping,Approved,2024-10-13,Customer requested return. Condition noted.,CST001625
RET000805,2025-01-23,Wrong item delivered,Processing,,Customer requested return. Condition noted.,CST002637
RET000806,2025-03-21,Incompatible with device,Approved,2025-03-28,Customer requested return. Condition noted.,CST002912
RET000807,2023-10-11,Damaged during shipping,Rejected,2023-10-14,Customer requested return. Condition noted.,CST002131
RET000808,2023-12-23,Changed mind,Pending,,Customer requested return. Condition noted.,CST001316
RET000809,2023-11-25,Product not as described,Pending,,Customer requested return. Condition noted.,CST000666
RET000810,2022-07-22,Damaged during shipping,Approved,2022-07-23,Customer requested return. Condition noted.,CST001152
RET000811,2025-04-20,Changed mind,Approved,2025-04-23,Customer requested return. Condition noted.,CST000385
RET000812,2023-08-06,Incompatible with device,Approved,2023-08-09,Customer requested return. Condition noted.,CST002942
RET000813,2022-08-02,Duplicate purchase,Approved,2022-08-03,Customer requested return. Condition noted.,CST001274
RET000814,2024-08-10,Wrong item delivered,Approved,2024-08-14,Customer requested return. Condition noted.,CST002568
RET000815,2022-01-09,Wrong item delivered,Approved,2022-01-15,Customer requested return. Condition noted.,CST001008
RET000816,2025-11-08,Product not as described,Approved,2025-11-09,Customer requested return. Condition noted.,CST000903
RET000817,2022-04-05,Better price found elsewhere,Approved,2022-04-10,Customer requested return. Condition noted.,CST000349
RET000818,2022-01-22,Duplicate purchase,Rejected,2022-01-24,Customer requested return. Condition noted.,CST000226
RET000819,2023-03-08,Incompatible with device,Approved,2023-03-13,Customer requested return. Condition noted.,CST002349
RET000820,2023-03-24,Defective product,Approved,2023-03-29,Customer requested return. Condition noted.,CST002094
RET000821,2024-09-18,Incompatible with device,Approved,2024-09-24,Customer requested return. Condition noted.,CST000289
RET000822,2023-12-17,Damaged during shipping,Approved,2023-12-18,Customer requested return. Condition noted.,CST002737
